CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
98345	P n m a	(Nd0.7 Ba0.2 Sr0.1) (Mn O3)	GdFeO3	Suard, E.; Fauth, F.; Martin, C.; Maignan, A.; Millange, F.; Keller, L.	5.4689(4) 7.7380(7) 5.4830(5) 90 90 90	232.03	1.50	0.101325	2003	10	
98346	P n m a	(Nd0.7 Ba0.25 Sr0.05) (Mn O3)	GdFeO3	Suard, E.; Fauth, F.; Martin, C.; Maignan, A.; Millange, F.; Keller, L.	5.4853(2) 7.7541(2) 5.5065(2) 90 90 90	234.21	293.00	0.101325	2003	10	
98347	P n m a	(Nd0.7 Ba0.25 Sr0.05) (Mn O3)	GdFeO3	Suard, E.; Fauth, F.; Martin, C.; Maignan, A.; Millange, F.; Keller, L.	5.4750(2) 7.7396(3) 5.4938(6) 90 90 90	232.80	1.50	0.101325	2003	10	
99378	P c c n	Pr2 Ca2 (Mn Ni O8)	CuLa2O4(oP28)	Han Duk-Kyun; Kim Sang-Hwan; Hong Kun-Pyo; Kwon Young-Uk; Kim Sung-Hyun; Lee Jeong-Soo	5.3625(2) 5.3663(2) 12.0857(1) 90 90 90	347.79	293.00	0.101325	2004	10	
99379	P c c n	Nd2 Ca2 (Mn Ni O8)	CuLa2O4(oP28)	Han Duk-Kyun; Kim Sang-Hwan; Hong Kun-Pyo; Kwon Young-Uk; Kim Sung-Hyun; Lee Jeong-Soo	5.3568(1) 5.3747(1) 12.0182(2) 90 90 90	346.02	293.00	0.101325	2004	10	
99380	P c c n	Sm2 Ca2 (Mn Ni O8)	CuLa2O4(oP28)	Han Duk-Kyun; Kim Sang-Hwan; Hong Kun-Pyo; Kwon Young-Uk; Kim Sung-Hyun; Lee Jeong-Soo	5.3673(1) 5.3405(1) 11.9038(1) 90 90 90	341.21	293.00	0.101325	2004	10	
99381	P c c n	Gd2 Ca2 (Mn Ni O8)	CuLa2O4(oP28)	Han Duk-Kyun; Kim Sang-Hwan; Hong Kun-Pyo; Kwon Young-Uk; Kim Sung-Hyun; Lee Jeong-Soo	5.3889(2) 5.3175(2) 11.8087(4) 90 90 90	338.38	293.00	0.101325	2004	10	
99560	P n m a	(La0.18 Pr0.42 Sr0.4) (Mn O3)	GdFeO3	Zemni, S.; Dhahri, Ja.; Cherif, K.; Dhahri, J.; Oumezzine, M.; Ghedira, M.; Vincent, H.	5.4627(2) 7.6742(2) 5.4922(3) 90 90 90	230.24	293.00	0.101325	2004	10	
99561	P n m a	(La0.06 Pr0.54 Sr0.4) (Mn O3)	GdFeO3	Zemni, S.; Dhahri, Ja.; Cherif, K.; Dhahri, J.; Oumezzine, M.; Ghedira, M.; Vincent, H.	5.4544(2) 7.6712(3) 5.4868(2) 90 90 90	229.58	293.00	0.101325	2004	10	
99693	P n m a	(Nd0.6 Mg0.1 Sr0.3) (Mn O3)	GdFeO3	Tseggai, M.; Mathieu, R.; Nordblad, P.; Tellgren, R.; Bau, L.V.; Nam, D.N.H.; Phuc, N.X.; Khiem, N.V.; Andre, G.; Bouree, F.	5.4521(2) 7.7046(3) 5.4647(2) 90 90 90	229.55	298.00	0.101325	2004	10	
99694	P n m a	(Nd0.6 Mg0.1 Sr0.3) ((Mn0.9 Mg0.1) O3)	GdFeO3	Tseggai, M.; Mathieu, R.; Nordblad, P.; Tellgren, R.; Bau, L.V.; Nam, D.N.H.; Phuc, N.X.; Khiem, N.V.; Andre, G.; Bouree, F.	5.4466(4) 7.7003(5) 5.4600(4) 90 90 90	228.99	298.00	0.101325	2004	10	
99695	P n m a	(Nd0.6 Mg0.1 Sr0.3) ((Mn0.8 Mg0.2) O3)	GdFeO3	Tseggai, M.; Mathieu, R.; Nordblad, P.; Tellgren, R.; Bau, L.V.; Nam, D.N.H.; Phuc, N.X.; Khiem, N.V.; Andre, G.; Bouree, F.	5.4424(5) 7.6919(7) 5.4523(5) 90 90 90	228.25	298.00	0.101325	2004	10	
100368	P n n m	Al1.920 Mn0.023 Fe0.057 (O (Si O4))	Al2SiO5-[orh,oP36]	Abs-Wurmbach, I.; Langer, K.; Seifert, F.; Tillmanns, E.	7.810(2) 7.915(2) 5.570(2) 90. 90. 90.	344.32	293.00	0.101325	1981	10	
100369	P n n m	Al1.756 Mn0.182 Fe0.062 (O (Si O4))	Al2SiO5-[orh,oP36]	Abs-Wurmbach, I.; Langer, K.; Seifert, F.; Tillmanns, E.	7.842(2) 7.940(2) 5.582(2) 90. 90. 90.	347.57	293.00	0.101325	1981	10	
100370	P n n m	Al1.562 Mn0.342 Fe0.096 (O (Si O4))	Al2SiO5-[orh,oP36]	Abs-Wurmbach, I.; Langer, K.; Seifert, F.; Tillmanns, E.	7.891(2) 7.988(2) 5.603(2) 90. 90. 90.	353.18	293.00	0.101325	1981	10	
100371	P n n m	Al1.302 Mn0.680 Fe0.018 (O (Si O4))	Al2SiO5-[orh,oP36]	Abs-Wurmbach, I.; Langer, K.; Seifert, F.; Tillmanns, E.	7.961(2) 8.053(2) 5.616(2) 90. 90. 90.	360.04	293.00	0.101325	1981	10	
111506	P c c a	Cs Mn Cl3 (H2 O)2	CsFeCl3(H2O)2	Xiao, Hui; Dang, Peipei; Yun, Xiaohan; Li, Guogang; Wei, Yi; Wei, Yi; Xiao, Xiao; Zhao, Yajie; Molokeev, Maxim S.; Cheng, Ziyong; Lin, Jun	9.0767(3) 7.9264(2) 11.4778(3) 90. 90. 90.	825.78	293.00	0.101325	2021	10	
113423	I m m a	Mn Cr F5 (H2 O)2	Fe2F5(H2O)2	Keerthisinghe, Navindra; Berseneva, Anna A.; Klepov, Vladislav V.; Morrison, Gregory; Zur Loye, Hans-Conrad	7.4651(4) 10.8195(5) 6.7317(3) 90 90 90	543.71	301.64	0.101325	2021	10	
113661	P b c n	K2 (Mn (Se O4) F3)		Zhu, Tianyu; Lee, Suheon; Zhang, Xinan; Yang, Haoming; Jin, Yong; Jin, Yanling; Choi, Kwang-Yong; Lü, Minfeng	11.0027(2) 8.5727(2) 7.30140(10) 90 90 90	688.68	293.00	0.101325	2021	10	
116950	P n m a	Mg5 (Mg1.48 Mn0.52) (Si8 O22) (O H)2	Mg7Si8O22(OH)2	Welch, Mark D.; Gatta, G. Diego; Rotiroti, Nicola	18.563(3) 17.951(4) 5.2747(12) 90. 90. 90.	1757.66	293.00	0.1	2011	10	
