CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
252180	C 1 2/c 1	Na1.40 Mn0.30 Fe3 (V O4)3	NaCu4(AsO4)3	Benhsina, Elhassan; Assani, Abderrazzak; Saadi, Mohamed; El Ammari, Lahcen	11.9512(5) 12.9022(5) 6.7756(3) 90 111.6780(10) 90	970.88	296.00	0.101325	2016	10	
252555	I 1 a 1	Bi2 (Zn Ti0.6 Mn0.4) O6	Pb(Ti,Zr)O3-[mS20]	Yu, Runze; Matsuda, Narumi; Tominaga, Ken; Shimizu, Keisuke; Hojo, Hajime; Sakai, Yuki; Yamamoto, Hajime; Oka, Kengo; Azuma, Masaki	5.5318(4) 5.4881(2) 8.3269(10) 90 89.29(6) 90	252.78	295.00	0.101325	2016	10	
252816	C 1 2/m 1	Li1.2 Mn0.54 Ni0.13 Co0.13 O2	Li2MnO3	Ishida, Naoya; Tamura, Norihide; Kitamura, Naoto; Idemoto, Yasushi	4.9360(3) 8.5447(3) 5.0217(2) 90 109.242(3) 90	199.97	293.00	0.101325	2016	10	
252817	C 1 2/m 1	Li1.0 Mn0.54 Ni0.13 Co0.13 O2	Li2MnO3	Ishida, Naoya; Tamura, Norihide; Kitamura, Naoto; Idemoto, Yasushi	4.9233(3) 8.5150(4) 5.0460(2) 90 109.003(6) 90	200.01	293.00	0.101325	2016	10	
252818	C 1 2/m 1	Li0.74 Mn0.54 Ni0.13 Co0.13 O2	Li2MnO3	Ishida, Naoya; Tamura, Norihide; Kitamura, Naoto; Idemoto, Yasushi	4.9160(5) 8.5023(6) 5.0556(4) 90 108.898(10) 90	199.92	293.00	0.101325	2016	10	
252819	C 1 2/m 1	Li0.33 Mn0.54 Ni0.13 Co0.13 O2	Li2MnO3	Ishida, Naoya; Tamura, Norihide; Kitamura, Naoto; Idemoto, Yasushi	4.9031(14) 8.5080(11) 5.013(2) 90 109.23(3) 90	197.45	293.00	0.101325	2016	10	
252820	C 1 2/m 1	Li0.89 Mn0.54 Ni0.13 Co0.13 O2	Li2MnO3	Ishida, Naoya; Tamura, Norihide; Kitamura, Naoto; Idemoto, Yasushi	4.9129(4) 8.4976(5) 5.0389(2) 90 109.004(5) 90	198.90	293.00	0.101325	2016	10	
252821	C 1 2/m 1	Li0.77 Mn0.54 Ni0.13 Co0.13 O2	Li2MnO3	Ishida, Naoya; Tamura, Norihide; Kitamura, Naoto; Idemoto, Yasushi	4.9129(4) 8.4968(6) 5.0473(3) 90 108.927(8) 90	199.30	293.00	0.101325	2016	10	
252822	C 1 2/m 1	Li0.32 Mn0.54 Ni0.13 Co0.13 O2	Li2MnO3	Ishida, Naoya; Tamura, Norihide; Kitamura, Naoto; Idemoto, Yasushi	4.923(2) 8.511(2) 5.0455(14) 90 108.86(4) 90	200.05	293.00	0.101325	2016	10	
253584	C 1 2/m 1	Ba3 Mn2 (V2 O7)2 F2		Sanjeewa, Liurukara D.; McMillen, Colin D.; McGuire, Michael A.; Kolis, Joseph W.	14.2656(7) 5.5301(3) 9.6379(5) 90 107.0600(10) 90	726.87	298.00	0.101325	2016	10	
257670	I 1 2/m 1	Ba1.1 La0.9 Mn Sb O6	Ba2Bi2O6	Arciniegas Jaimes, Diana M.; Blanco, M. Cecilia; Pomiro, Fernando; Tirao, German; Nassif, Vivian M.; Cuello, Gabriel J.; Alonso, Jose A.; Carbonio, Raul E.	5.7592(2) 5.7625(1) 8.1457(2) 90 90.175(2) 90	270.33	300.00	0.101325	2017	10	
257671	I 1 2/m 1	Ba1.1 La0.9 Mn Sb O6	Ba2Bi2O6	Arciniegas Jaimes, Diana M.; Blanco, M. Cecilia; Pomiro, Fernando; Tirao, German; Nassif, Vivian M.; Cuello, Gabriel J.; Alonso, Jose A.; Carbonio, Raul E.	5.7495(1) 5.7530(1) 8.1314(2) 90 90.200(2) 90	268.95	4.00	0.101325	2017	10	
257672	I 1 2/m 1	Ba1.2 La0.8 Mn Sb O6	Ba2Bi2O6	Arciniegas Jaimes, Diana M.; Blanco, M. Cecilia; Pomiro, Fernando; Tirao, German; Nassif, Vivian M.; Cuello, Gabriel J.; Alonso, Jose A.; Carbonio, Raul E.	5.7639(3) 5.7591(3) 8.1446(2) 90 90.087(4) 90	270.36	300.00	0.101325	2017	10	
257673	I 1 2/m 1	Ba1.2 La0.8 Mn Sb O6	Ba2Bi2O6	Arciniegas Jaimes, Diana M.; Blanco, M. Cecilia; Pomiro, Fernando; Tirao, German; Nassif, Vivian M.; Cuello, Gabriel J.; Alonso, Jose A.; Carbonio, Raul E.	5.7537(2) 5.7495(2) 8.1300(2) 90 90.111(4) 90	268.94	4.00	0.101325	2017	10	
